CD_PLACE_INF__PARKING;LIAISON_INF__LIAISON;CD_AIRE_INF__TYPE;CHAUSSEE_INF__SENS;AIRE_INF__ABS_DEB;NBRE
VL;A40;AS;1;163240;60
PL;A40;AS;1;163240;20
VL;A40;AR;1;191180;18
PL;A40;AR;1;191180;21
VL;A40;AR;2;103000;58
PL;A40;AR;2;103000;7
PL;A40;AR;2;115500;75
VL;A40;AR;2;115500;150
PL;A40;AS;2;130900;9
VL;A40;AS;2;130900;15
VL;A40;AR;2;152600;58
PL;A40;AR;2;152600;116
PL;A40;AS;2;163400;2
VL;A40;AS;2;163400;20
PL;A40;AR;2;191150;3
VL;A40;AR;2;191150;13
PL;A404;PB;1;12550;4
VL;A404;PB;1;12550;19
VL;A404;PB;2;12550;47
PL;A404;PB;2;12550;60
PL;A42;AS;1;16300;10
VL;A42;AS;1;16300;20
PL;A42;AR;1;32600;11
VL;A42;AR;1;32600;15
VL;A42;AR;2;9600;49
PL;A42;AR;2;9600;60
PL;A42;AS;2;16300;10
VL;A42;AS;2;16300;28
PL;A42;AR;2;32600;8
VL;A42;AR;2;32600;11
VL;A432;PB;2;12360;94
PL;A432;PB;2;12360;25
PL;A46;AS;1;16000;79
VL;A46;AS;1;16000;176
VL;A46;AS;2;16000;49
PL;A46;AS;2;16000;8
PL;A5;PB;1;1490;40
VL;A5;PB;1;1490;57
PL;A5;AS;1;30100;30
VL;A5;AS;1;30100;36
VL;A5;AR;1;46920;40
PL;A5;AR;1;46920;25
VL;A5;AR;1;68000;62
PL;A5;AR;1;68000;33
PL;A5;AS;1;84980;17
VL;A5;AS;1;84980;35
PL;A5;AR;1;109300;9
VL;A5;AR;1;109300;29
PL;A5;AR;1;123400;51
VL;A5;AR;1;123400;84
PL;A5;AS;1;140200;20
VL;A5;AS;1;140200;28
PL;A5;AR;1;174810;6
VL;A5;AR;1;174810;15
PL;A5;AD;1;200070;10
VL;A5;AD;1;200070;16
VL;A5;AR;1;219420;42
PL;A5;AR;1;219420;12
PL;A5;PB;2;1490;70
VL;A5;PB;2;1490;85
PL;A5;AS;2;30030;15
VL;A36;AR;2;128600;12
PL;A36;AR;2;128600;20
VL;A36;AR;2;137500;38
VL;A5;AS;2;30030;26
PL;A5;AR;2;46800;8
VL;A5;AR;2;46800;30
VL;A5;AR;2;67000;63
PL;A5;AR;2;67000;23
PL;A5;AS;2;85000;20
VL;A5;AS;2;85000;31
PL;A5;AR;2;109400;10
VL;A5;AR;2;109400;29
PL;A5;AR;2;124600;49
VL;A5;AR;2;124600;84
PL;A5;AS;2;140200;22
VL;A5;AS;2;140200;28
PL;A5;AR;2;174810;46
VL;A5;AR;2;174810;129
PL;A5;AS;2;200070;10
VL;A5;AS;2;200070;19
VL;A5;AR;2;219420;37
PL;A5;AR;2;219420;38
PL;A5A;AS;1;5985;183
VL;A5A;AS;1;5985;197
PL;A6;AS;1;29000;60
VL;A6;AS;1;29000;71
PL;A6;AR;1;50250;39
VL;A6;AR;1;50250;60
PL;A6;AS;1;58000;6
VL;A6;AS;1;58000;19
PL;A6;AR;1;65500;74
VL;A6;AR;1;65500;103
PL;A6;AS;1;74100;43
VL;A6;AS;1;74100;64
VL;A6;AR;1;85600;46
PL;A6;AR;1;85600;7
PL;A6;AR;1;90800;14
VL;A6;AR;1;90800;16
PL;A6;AR;1;102700;47
VL;A6;AR;1;102700;82
VL;A6;AR;1;116700;58
PL;A6;AR;1;116700;72
VL;A6;AS;1;122900;28
VL;A6;AR;1;133200;18
PL;A6;AR;1;133200;26
PL;A6;AR;1;149600;5
VL;A6;AR;1;149600;15
PL;A6;AR;1;158500;130
VL;A6;AR;1;158500;204
PL;A6;AS;1;167000;7
VL;A6;AS;1;167000;10
PL;A6;AR;1;173800;39
VL;A6;AR;1;173800;51
VL;A6;AR;1;186900;26
PL;A6;AR;1;186900;32
PL;A6;AR;1;198100;87
VL;A6;AR;1;198100;121
VL;A6;AS;1;212900;23
PL;A6;AS;1;212900;31
VL;A36;AS;2;160600;38
PL;A36;AS;2;160600;9
VL;A36;AR;2;172100;40
PL;A36;AR;2;172100;10
VL;A36;AR;2;185300;50
PL;A36;AR;2;185300;20
VL;A36;AS;2;200400;39
PL;A36;AS;2;200400;10
PL;A36;AR;2;208800;10
VL;A36;AR;2;208800;19
VL;A39;AR;1;5900;64
PL;A39;AR;1;5900;26
VL;A39;AR;1;15200;87
PL;A39;AR;1;15200;30
PL;A39;AS;1;24930;21
VL;A39;AS;1;24930;33
PL;A39;AR;1;51390;16
VL;A39;AR;1;51390;27
PL;A39;AR;1;66730;19
VL;A39;AR;1;66730;22
PL;A39;AR;1;100080;87
VL;A39;AR;1;100080;178
PL;A39;AS;1;114970;16
VL;A39;AS;1;114970;27
PL;A39;AR;1;137650;10
VL;A39;AR;1;137650;19
VL;A39;AR;2;5900;64
PL;A39;AR;2;5900;26
VL;A39;AR;2;16300;87
PL;A39;AR;2;16300;30
PL;A39;AS;2;24460;27
VL;A39;AS;2;24460;33
PL;A39;AR;2;51310;16
VL;A39;AR;2;51310;27
PL;A39;AR;2;66730;90
VL;A39;AR;2;66730;193
PL;A39;AS;2;78300;19
VL;A39;AS;2;78300;23
PL;A39;AD;2;114970;16
VL;A39;AD;2;114970;26
PL;A39;AR;2;137650;3
VL;A39;AR;2;137650;6
PL;A391;PB;1;920;3
VL;A391;PB;1;920;5
VL;A391;PB;2;920;18
PL;A391;PB;2;920;18
VL;A40;AR;1;103000;47
PL;A40;AR;1;103000;7
VL;A40;AR;1;115500;52
PL;A40;AR;1;115500;79
PL;A40;AS;1;130700;4
PL;A40;AR;1;140300;9
VL;A40;AR;1;140300;15
VL;A40;AR;1;152630;90
PL;A40;AR;1;152630;122
PL;A36;AR;2;137500;50
PL;A71;PB;1;381000;14
VL;A71;PB;1;381000;30
VL;A71;AR;2;213490;99
PL;A71;AR;2;213490;30
PL;A71;AD;2;246200;13
VL;A71;AD;2;246200;31
PL;A71;AR;2;276430;88
VL;A71;AR;2;276430;157
PL;A71;AS;2;304390;15
VL;A71;AS;2;304390;30
PL;A71;AR;2;333420;15
VL;A71;AR;2;333420;20
VL;A71;AR;2;371690;44
PL;A71;AR;2;371690;8
PL;A71;PB;2;381000;2
VL;A71;PB;2;381000;12
PL;A719;PB;1;1010;2
VL;A719;PB;1;1010;12
PL;A719;PB;2;1010;7
VL;A719;PB;2;1010;12
PL;A77;PB;1;5660;5
VL;A77;PB;1;5660;20
PL;A77;AR;1;11330;5
VL;A77;AR;1;11330;20
PL;A77;AR;1;30360;50
VL;A77;AR;1;30360;159
PL;A77;AS;1;45190;5
VL;A77;AS;1;45190;20
PL;A77;AR;1;64210;5
VL;A77;AR;1;64210;20
PL;A77;AR;1;88310;6
VL;A77;AR;1;88310;12
PL;A77;PB;1;97410;9
VL;A77;PB;1;97410;15
PL;A77;PB;2;5660;5
VL;A77;PB;2;5660;20
PL;A77;AR;2;12290;5
VL;A77;AR;2;12290;20
PL;A77;AR;2;30320;5
VL;A77;AR;2;30320;17
PL;A77;AR;2;64290;5
VL;A77;AR;2;64290;20
PL;A77;AR;2;88700;4
VL;A77;AR;2;88700;12
PL;A6;AR;1;222600;14
VL;A6;AR;1;222600;16
VL;A6;AR;1;232700;49
PL;A6;AR;1;232700;9
PL;A6;AR;1;242100;62
VL;A6;AR;1;242100;65
PL;A6;AS;1;255400;12
VL;A6;AS;1;255400;24
VL;A6;AR;1;269000;63
PL;A6;AR;1;269000;20
PL;A6;AR;1;280300;51
VL;A6;AR;1;280300;30
PL;A6;AS;1;286400;7
VL;A6;AS;1;286400;30
PL;A6;AR;1;295600;45
VL;A6;AR;1;295600;87
VL;A6;AS;1;311300;45
PL;A6;AS;1;311300;25
VL;A6;AR;1;322700;58
PL;A6;AR;1;322700;97
VL;A6;AS;1;341700;40
PL;A6;AS;1;341700;19
VL;A6;AR;1;351900;23
PL;A6;AR;1;351900;27
PL;A6;AR;1;363700;121
VL;A6;AR;1;363700;155
VL;A6;AS;1;374800;47
PL;A6;AS;1;374800;23
PL;A6;AR;1;397000;66
VL;A6;AR;1;397000;103
VL;A6;AS;1;407800;56
PL;A6;AS;1;407800;22
PL;A6;AR;1;419500;13
VL;A6;AR;1;419500;23
PL;A6;PB;1;427400;37
VL;A6;PB;1;427400;99
VL;A6;AS;1;435600;55
PL;A6;AS;1;435600;17
PL;A6;AS;1;450089;204
VL;A6;AS;1;450089;304
PL;A6;AS;2;29000;21
VL;A6;AS;2;29000;35
VL;A6;AR;2;50250;36
PL;A6;AR;2;50250;9
VL;A6;AR;2;51800;10
PL;A6;AR;2;51800;33
VL;A6;AS;2;58000;54
PL;A6;AS;2;58000;63
PL;A6;AS;2;74100;5
VL;A6;AS;2;74100;9
PL;A6;AR;2;85700;8
VL;A6;AR;2;85700;24
VL;A6;AR;2;90800;12
PL;A6;AR;2;90800;14
PL;A6;AR;2;102900;17
VL;A6;AR;2;102900;30
VL;A6;AS;2;122900;15
PL;A6;AS;2;122900;15
PL;A6;AR;2;132200;6
VL;A6;AR;2;132200;19
PL;A6;AR;2;144700;5
VL;A6;AR;2;144700;15
PL;A6;AR;2;158600;116
VL;A6;AR;2;158600;199
VL;A6;AS;2;167000;8
PL;A6;AS;2;167000;14
PL;A6;AR;2;179000;23
VL;A6;AR;2;179000;33
PL;A6;AR;2;184600;29
VL;A6;AR;2;184600;31
PL;A6;Sortie;2;209000;95
VL;A6;Sortie;2;209000;126
PL;A6;AS;2;213000;8
VL;A6;AS;2;213000;21
PL;A6;AR;2;219600;8
VL;A6;AR;2;219600;9
VL;A6;AR;2;232800;39
PL;A6;AR;2;232800;9
VL;A6;AR;2;242200;64
PL;A6;AR;2;242200;84
VL;A6;AS;2;256000;38
PL;A6;AS;2;256000;12
VL;A6;AR;2;269100;76
PL;A6;AR;2;269100;19
PL;A6;AS;2;285500;5
VL;A6;AS;2;285500;35
PL;A6;AR;2;294000;10
VL;A6;AR;2;294000;27
PL;A6;AR;2;298400;65
VL;A6;AR;2;298400;94
VL;A6;AS;2;311300;62
PL;A6;AS;2;311300;23
VL;A6;AR;2;322900;66
PL;A6;AR;2;322900;101
PL;A6;AS;2;341700;18
VL;A6;AS;2;341700;20
PL;A6;AR;2;351900;16
VL;A6;AR;2;351900;22
PL;A6;AR;2;364700;118
VL;A6;AR;2;364700;136
VL;A6;AS;2;374800;45
PL;A6;AS;2;374800;23
PL;A6;AR;2;397000;96
VL;A6;AR;2;397000;118
VL;A6;AS;2;408400;60
PL;A6;AS;2;408400;20
PL;A6;AR;2;419400;13
VL;A6;AR;2;419400;22
PL;A6;PB;2;427200;40
VL;A6;PB;2;427200;137
VL;A6;AS;2;435800;55
PL;A6;AS;2;435800;17
VL;A6;AS;2;445700;3
PL;A6;AS;2;445700;9
PL;A71;AR;1;219200;37
VL;A71;AR;1;219200;109
PL;A71;AS;1;245990;15
VL;A71;AS;1;245990;29
VL;A71;AR;1;276610;65
PL;A71;AR;1;276610;96
PL;A71;AS;1;304300;15
VL;A71;AS;1;304300;29
PL;A71;AR;1;333330;66
VL;A71;AR;1;333330;326
PL;A71;AS;1;354890;15
VL;A71;AS;1;354890;19
PL;A71;AR;1;371730;7
VL;A71;AR;1;371730;8
PL;A105;AD;1;5000;49
VL;A105;AD;1;5000;86
PL;A105;AS;2;5000;63
VL;A105;AS;2;5000;139
VL;A19;AD;2;16000;26
PL;A19;AD;2;16000;27
VL;A26;AR;1;382900;26
PL;A26;AR;1;382900;27
PL;A26;AR;2;382500;10
VL;A26;AR;2;382500;18
PL;A31;AR;1;7200;8
VL;A31;AR;1;7200;15
PL;A31;AR;1;16900;85
VL;A31;AR;1;16900;127
VL;A31;AS;1;25700;51
PL;A31;AS;1;25700;10
PL;A31;AR;1;45100;59
VL;A31;AR;1;45100;73
VL;A31;AD;1;56100;53
PL;A31;AD;1;56100;10
VL;A31;AR;1;75800;38
PL;A31;AR;1;75800;20
VL;A31;AR;1;87900;85
PL;A31;AR;1;87900;147
PL;A31;AS;1;102900;10
VL;A31;AS;1;102900;20
VL;A31;AR;1;121700;49
PL;A31;AR;1;121700;20
VL;A31;AS;1;137700;20
PL;A31;AS;1;137700;26
VL;A31;AR;1;162100;65
PL;A31;AR;1;162100;115
PL;A31;AS;1;182300;10
VL;A31;AS;1;182300;20
VL;A31;AR;1;200900;46
PL;A31;AR;1;200900;10
PL;A31;AR;1;211300;12
VL;A31;AR;1;211300;19
VL;A31;AR;1;225500;122
PL;A31;AR;1;225500;30
PL;A31;AS;1;232000;10
VL;A31;AS;1;232000;18
PL;A31;AR;2;7800;8
VL;A31;AR;2;7800;15
PL;A31;AR;2;17400;103
VL;A31;AR;2;17400;187
VL;A31;AS;2;25600;46
PL;A31;AS;2;25600;10
VL;A31;AR;2;45100;82
PL;A31;AR;2;45100;147
VL;A31;AS;2;56100;51
PL;A31;AS;2;56100;10
PL;A31;AR;2;75800;17
VL;A31;AR;2;75800;28
VL;A31;AR;2;87900;87
PL;A31;AR;2;87900;154
PL;A31;AS;2;102900;11
VL;A31;AS;2;102900;18
VL;A31;AR;2;121700;47
PL;A31;AR;2;121700;35
VL;A31;AS;2;137700;20
PL;A31;AS;2;137700;25
VL;A31;AR;2;162100;60
PL;A31;AR;2;162100;115
VL;A31;AS;2;182300;20
PL;A31;AS;2;182300;25
VL;A31;AR;2;200900;43
PL;A31;AR;2;200900;26
PL;A31;AR;2;211300;9
VL;A31;AR;2;211300;10
PL;A31;AR;2;225500;38
VL;A31;AR;2;225500;159
PL;A311;PB;2;30800;100
VL;A311;PB;2;30800;30
PL;A36;AS;1;11100;15
VL;A36;AS;1;11100;26
PL;A36;AR;1;20600;8
VL;A36;AR;1;20600;18
PL;A36;AR;1;24300;9
VL;A36;AR;1;24300;20
PL;A36;AR;1;28800;5
VL;A36;AR;1;28800;21
PL;A36;AR;1;44620;41
VL;A36;AR;1;44620;79
PL;A36;AD;1;60000;2
VL;A36;AD;1;60000;9
PL;A36;AR;1;65810;12
VL;A36;AR;1;65810;28
PL;A36;AR;1;75000;13
VL;A36;AR;1;75000;22
VL;A36;AR;1;84000;62
PL;A36;AR;1;84000;16
VL;A36;AR;1;101600;97
PL;A36;AR;1;101600;114
VL;A36;AS;1;111600;41
PL;A36;AS;1;111600;12
VL;A36;AR;1;128600;10
PL;A36;AR;1;128600;27
VL;A36;AR;1;146300;49
PL;A36;AR;1;146300;52
VL;A36;AS;1;160400;37
PL;A36;AS;1;160400;10
VL;A36;AR;1;172100;38
PL;A36;AR;1;172100;10
VL;A36;AR;1;185100;58
PL;A36;AR;1;185100;19
VL;A36;AS;1;200700;39
PL;A36;AS;1;200700;10
PL;A36;AR;1;208700;73
VL;A36;AR;1;208700;125
VL;A36;AS;2;11100;63
PL;A36;AS;2;11100;12
PL;A36;AR;2;20200;11
VL;A36;AR;2;20200;17
PL;A36;AR;2;24300;10
VL;A36;AR;2;24300;31
PL;A36;AR;2;26600;46
VL;A36;AR;2;26600;102
PL;A36;AS;2;60400;9
VL;A36;AS;2;60400;29
PL;A36;AR;2;65810;12
VL;A36;AR;2;65810;20
PL;A36;AR;2;75600;15
VL;A36;AR;2;75600;24
VL;A36;AR;2;84000;55
PL;A36;AR;2;84000;13
VL;A36;AR;2;101600;93
PL;A36;AR;2;101600;104
PL;A36;AS;2;112100;12
VL;A36;AS;2;112100;35
