CD_SERVICE_INF__SERVICE;LIAISON_INF__LIAISON;CD_AIRE_INF__TYPE;CHAUSSEE_INF__SENS;AIRE_INF__ABS_DEB
TELEPHONE;A6;AR;2;269100
TELEPHONE;A6;AR;2;294000
TELEPHONE;A6;AR;2;298400
TELEPHONE;A6;AR;2;322900
TELEPHONE;A6;AR;2;351900
TELEPHONE;A6;AR;2;364700
TELEPHONE;A6;AR;2;397000
TELEPHONE;A6;AR;2;419400
VIDANGE;A6;AR;2;90800
VIDANGE;A6;AR;2;179000
VIDANGE;A6;AR;2;184600
VIDANGE;A6;AR;2;298400
Vente Liber-t;A6;AR;2;184600
Vente Liber-t;A6;AR;2;219600
Vente Liber-t;A6;AR;2;294000
Vente Liber-t;A6;AR;2;298400
BRUMISATEUR;A6;AS;1;74100
BRUMISATEUR;A6;AS;1;311300
BRUMISATEUR;A6;AS;1;450089
CHANGE;A6;AS;1;58000
CHANGE;A6;AS;1;74100
DAB;A6;AS;1;450089
JEUX;A6;AS;1;29000
JEUX;A6;AS;1;58000
JEUX;A6;AS;1;74100
JEUX;A6;AS;1;122900
JEUX;A6;AS;1;167000
JEUX;A6;AS;1;212900
JEUX;A6;AS;1;255400
JEUX;A6;AS;1;286400
JEUX;A6;AS;1;311300
JEUX;A6;AS;1;341700
JEUX;A6;AS;1;374800
JEUX;A6;AS;1;407800
JEUX;A6;AS;1;435600
JEUX;A6;AS;1;450089
MOBILITE REDUITE;A6;AS;1;29000
MOBILITE REDUITE;A6;AS;1;58000
MOBILITE REDUITE;A6;AS;1;74100
MOBILITE REDUITE;A6;AS;1;122900
MOBILITE REDUITE;A6;AS;1;167000
MOBILITE REDUITE;A6;AS;1;212900
MOBILITE REDUITE;A6;AS;1;255400
MOBILITE REDUITE;A6;AS;1;286400
MOBILITE REDUITE;A6;AS;1;311300
MOBILITE REDUITE;A6;AS;1;341700
MOBILITE REDUITE;A6;AS;1;374800
MOBILITE REDUITE;A6;AR;1;351900
MOBILITE REDUITE;A6;AR;1;363700
MOBILITE REDUITE;A6;AR;1;397000
MOBILITE REDUITE;A6;AR;1;419500
OUI Shop;A6;AR;1;351900
PANORAMA;A6;AR;1;50250
PANORAMA;A6;AR;1;102700
PANORAMA;A6;AR;1;149600
PANORAMA;A6;AR;1;158500
PANORAMA;A6;AR;1;173800
PANORAMA;A6;AR;1;186900
PANORAMA;A6;AR;1;363700
PANORAMA;A6;AR;1;419500
PARCOURS_DETENTE;A6;AR;1;50250
PARCOURS_DETENTE;A6;AR;1;102700
PARCOURS_DETENTE;A6;AR;1;133200
PARCOURS_DETENTE;A6;AR;1;186900
PARCOURS_DETENTE;A6;AR;1;198100
PARCOURS_DETENTE;A6;AR;1;222600
PARCOURS_DETENTE;A6;AR;1;363700
PARCOURS_DETENTE;A6;AR;1;397000
PIQUE_NIQUE;A6;AR;1;50250
PIQUE_NIQUE;A6;AR;1;65500
PIQUE_NIQUE;A6;AR;1;85600
PIQUE_NIQUE;A6;AR;1;90800
PIQUE_NIQUE;A6;AR;1;102700
PIQUE_NIQUE;A6;AR;1;116700
PIQUE_NIQUE;A6;AR;1;133200
PIQUE_NIQUE;A6;AR;1;149600
PIQUE_NIQUE;A6;AR;1;158500
PIQUE_NIQUE;A6;AR;1;173800
PIQUE_NIQUE;A6;AR;1;186900
PIQUE_NIQUE;A6;AR;1;198100
PIQUE_NIQUE;A6;AR;1;222600
PIQUE_NIQUE;A6;AR;1;232700
PIQUE_NIQUE;A6;AR;1;242100
PIQUE_NIQUE;A6;AR;1;269000
PIQUE_NIQUE;A6;AR;1;280300
PIQUE_NIQUE;A6;AR;1;295600
PIQUE_NIQUE;A6;AR;1;322700
PIQUE_NIQUE;A6;AR;1;351900
PIQUE_NIQUE;A6;AR;1;363700
PIQUE_NIQUE;A6;AR;1;397000
PIQUE_NIQUE;A6;AR;1;419500
PRESSE;A6;AR;1;50250
PRESSE;A6;AR;1;85600
PRESSE;A6;AR;1;102700
PRESSE;A6;AR;1;149600
PRESSE;A6;AR;1;186900
PRODUITS_REGIONAUX;A6;AR;1;50250
PRODUITS_REGIONAUX;A6;AR;1;65500
PRODUITS_REGIONAUX;A6;AR;1;85600
PRODUITS_REGIONAUX;A6;AR;1;102700
PRODUITS_REGIONAUX;A6;AR;1;149600
PRODUITS_REGIONAUX;A6;AR;1;280300
PRODUITS_REGIONAUX;A6;AR;1;397000
SUPERETTE;A6;AR;1;65500
SUPERETTE;A6;AR;1;351900
TABAC;A6;AR;1;50250
TELEPHONE;A6;AR;1;50250
TELEPHONE;A6;AR;1;65500
TELEPHONE;A6;AR;1;85600
TELEPHONE;A6;AR;1;90800
TELEPHONE;A6;AR;1;102700
TELEPHONE;A6;AR;1;116700
TELEPHONE;A6;AR;1;133200
TELEPHONE;A6;AR;1;149600
TELEPHONE;A6;AR;1;158500
TELEPHONE;A6;AR;1;173800
TELEPHONE;A6;AR;1;186900
TELEPHONE;A6;AR;1;198100
TELEPHONE;A6;AR;1;222600
TELEPHONE;A6;AR;1;232700
TELEPHONE;A6;AR;1;242100
TELEPHONE;A6;AR;1;269000
TELEPHONE;A6;AR;1;280300
TELEPHONE;A6;AR;1;295600
TELEPHONE;A6;AR;1;322700
TELEPHONE;A6;AR;1;351900
TELEPHONE;A6;AR;1;363700
TELEPHONE;A6;AR;1;397000
TELEPHONE;A6;AR;1;419500
VIDANGE;A6;AR;1;102700
VIDANGE;A6;AR;1;295600
VIDANGE;A6;AR;1;351900
Vente Liber-t;A6;AR;1;50250
Vente Liber-t;A6;AR;1;269000
WIFI;A6;AR;1;351900
BRUMISATEUR;A6;AR;2;90800
BRUMISATEUR;A6;AR;2;132200
BRUMISATEUR;A6;AR;2;158600
BRUMISATEUR;A6;AR;2;199100
BRUMISATEUR;A6;AR;2;219600
BRUMISATEUR;A6;AR;2;232800
BRUMISATEUR;A6;AR;2;322900
DAB;A6;AR;2;132200
DAB;A6;AR;2;144700
DAB;A6;AR;2;158600
DAB;A6;AR;2;179000
DAB;A6;AR;2;199100
DAB;A6;AR;2;219600
DAB;A6;AR;2;232800
Information;A6;AR;2;90800
Information;A6;AR;2;298400
JEUX;A6;AR;2;132200
JEUX;A6;AR;2;144700
JEUX;A6;AR;2;158600
JEUX;A6;AR;2;179000
JEUX;A6;AR;2;184600
JEUX;A6;AR;2;199100
JEUX;A6;AR;2;219600
JEUX;A6;AR;2;232800
JEUX;A6;AR;2;242200
JEUX;A6;AR;2;269100
JEUX;A6;AR;2;294000
JEUX;A6;AR;2;298400
JEUX;A6;AR;2;322900
JEUX;A6;AR;2;351900
JEUX;A6;AR;2;364700
JEUX;A6;AR;2;397000
JEUX;A6;AR;2;419400
BRUMISATEUR;A36;AD;1;60000
JEUX;A36;AD;1;60000
MOBILITE REDUITE;A36;AD;1;60000
PANORAMA;A36;AD;1;60000
PARCOURS_DETENTE;A36;AD;1;60000
PIQUE_NIQUE;A36;AD;1;60000
PRESSE;A36;AD;1;60000
PRODUITS_REGIONAUX;A36;AD;1;60000
TELEPHONE;A36;AD;1;60000
VIDANGE;A36;AD;1;60000
BRUMISATEUR;A36;AR;1;28800
BRUMISATEUR;A36;AR;1;84000
BRUMISATEUR;A36;AR;1;128600
BRUMISATEUR;A36;AR;1;172100
BRUMISATEUR;A36;AR;1;185100
DAB;A36;AR;1;28800
DAB;A36;AR;1;84000
DAB;A36;AR;1;185100
Information;A36;AR;1;172100
JEUX;A36;AR;1;20600
JEUX;A36;AR;1;24300
JEUX;A36;AR;1;28800
JEUX;A36;AR;1;44620
JEUX;A36;AR;1;65810
JEUX;A36;AR;1;75000
JEUX;A36;AR;1;84000
JEUX;A36;AR;1;101600
JEUX;A36;AR;1;128600
JEUX;A36;AR;1;146300
JEUX;A36;AR;1;172100
JEUX;A36;AR;1;185100
JEUX;A36;AR;1;208700
MOBILITE REDUITE;A36;AR;1;20600
MOBILITE REDUITE;A36;AR;1;24300
MOBILITE REDUITE;A36;AR;1;28800
MOBILITE REDUITE;A36;AR;1;44620
MOBILITE REDUITE;A36;AR;1;65810
MOBILITE REDUITE;A36;AR;1;75000
MOBILITE REDUITE;A36;AR;1;84000
MOBILITE REDUITE;A36;AR;1;101600
MOBILITE REDUITE;A36;AR;1;128600
MOBILITE REDUITE;A36;AR;1;146300
MOBILITE REDUITE;A36;AR;1;172100
MOBILITE REDUITE;A36;AR;1;185100
MOBILITE REDUITE;A36;AR;1;208700
OUI Shop;A36;AR;1;84000
PANORAMA;A36;AR;1;20600
PANORAMA;A36;AR;1;101600
PANORAMA;A36;AR;1;128600
PANORAMA;A36;AR;1;172100
PARCOURS_DETENTE;A36;AR;1;20600
PARCOURS_DETENTE;A36;AR;1;28800
PARCOURS_DETENTE;A36;AR;1;101600
PARCOURS_DETENTE;A36;AR;1;128600
PARCOURS_DETENTE;A36;AR;1;146300
PARCOURS_DETENTE;A36;AR;1;172100
PARCOURS_DETENTE;A36;AR;1;185100
PARCOURS_DETENTE;A36;AR;1;208700
PIQUE_NIQUE;A36;AR;1;20600
PIQUE_NIQUE;A36;AR;1;24300
PIQUE_NIQUE;A36;AR;1;28800
PIQUE_NIQUE;A36;AR;1;44620
PIQUE_NIQUE;A36;AR;1;65810
PIQUE_NIQUE;A36;AR;1;75000
PIQUE_NIQUE;A36;AR;1;84000
PIQUE_NIQUE;A36;AR;1;101600
PIQUE_NIQUE;A36;AR;1;128600
PIQUE_NIQUE;A36;AR;1;146300
PIQUE_NIQUE;A36;AR;1;172100
PIQUE_NIQUE;A36;AR;1;185100
PIQUE_NIQUE;A36;AR;1;208700
PRESSE;A36;AR;1;172100
PRODUITS_REGIONAUX;A36;AR;1;28800
PRODUITS_REGIONAUX;A36;AR;1;172100
PRODUITS_REGIONAUX;A36;AR;1;185100
Parking sécurisé pour poids lourds;A36;AR;1;208700
SUPERETTE;A36;AR;1;84000
SUPERETTE;A36;AR;1;185100
TABAC;A36;AR;1;172100
TELEPHONE;A36;AR;1;20600
TELEPHONE;A36;AR;1;24300
TELEPHONE;A36;AR;1;28800
TELEPHONE;A36;AR;1;44620
TELEPHONE;A36;AR;1;65810
TELEPHONE;A36;AR;1;75000
TELEPHONE;A36;AR;1;84000
TELEPHONE;A36;AR;1;101600
TELEPHONE;A36;AR;1;128600
TELEPHONE;A36;AR;1;146300
TELEPHONE;A36;AR;1;172100
TELEPHONE;A36;AR;1;185100
TELEPHONE;A36;AR;1;208700
Vente Liber-t;A36;AR;1;24300
Vente Liber-t;A36;AR;1;65810
WIFI;A36;AR;1;84000
BRUMISATEUR;A36;AR;2;24300
BRUMISATEUR;A36;AR;2;75600
DAB;A36;AR;2;24300
JEUX;A36;AR;2;20200
JEUX;A36;AR;2;24300
JEUX;A36;AR;2;26600
JEUX;A36;AR;2;65810
JEUX;A36;AR;2;75600
JEUX;A36;AR;2;84000
JEUX;A36;AR;2;101600
JEUX;A36;AR;2;128600
JEUX;A36;AR;2;137500
JEUX;A36;AR;2;172100
JEUX;A36;AR;2;185300
JEUX;A36;AR;2;208800
MOBILITE REDUITE;A36;AR;2;20200
MOBILITE REDUITE;A36;AR;2;24300
MOBILITE REDUITE;A36;AR;2;26600
MOBILITE REDUITE;A36;AR;2;65810
MOBILITE REDUITE;A36;AR;2;75600
MOBILITE REDUITE;A36;AR;2;84000
MOBILITE REDUITE;A36;AR;2;101600
MOBILITE REDUITE;A36;AR;2;128600
MOBILITE REDUITE;A36;AR;2;137500
MOBILITE REDUITE;A36;AR;2;172100
MOBILITE REDUITE;A36;AR;2;185300
MOBILITE REDUITE;A36;AR;2;208800
PANORAMA;A36;AR;2;75600
PANORAMA;A36;AR;2;84000
PARCOURS_DETENTE;A36;AR;2;65810
PARCOURS_DETENTE;A36;AR;2;128600
PARCOURS_DETENTE;A36;AR;2;137500
PARCOURS_DETENTE;A36;AR;2;172100
PIQUE_NIQUE;A36;AR;2;20200
PIQUE_NIQUE;A36;AR;2;24300
PIQUE_NIQUE;A36;AR;2;26600
PIQUE_NIQUE;A36;AR;2;65810
PIQUE_NIQUE;A36;AR;2;75600
PIQUE_NIQUE;A36;AR;2;84000
PIQUE_NIQUE;A36;AR;2;101600
PIQUE_NIQUE;A36;AR;2;128600
PIQUE_NIQUE;A36;AR;2;137500
PIQUE_NIQUE;A36;AR;2;172100
PIQUE_NIQUE;A36;AR;2;185300
PIQUE_NIQUE;A36;AR;2;208800
PRESSE;A36;AR;2;208800
PRODUITS_REGIONAUX;A36;AR;2;24300
TELEPHONE;A36;AR;2;20200
TELEPHONE;A36;AR;2;24300
TELEPHONE;A36;AR;2;26600
TELEPHONE;A36;AR;2;65810
TELEPHONE;A36;AR;2;75600
TELEPHONE;A36;AR;2;84000
TELEPHONE;A36;AR;2;101600
TELEPHONE;A36;AR;2;128600
TELEPHONE;A36;AR;2;137500
TELEPHONE;A36;AR;2;172100
TELEPHONE;A36;AR;2;185300
TELEPHONE;A36;AR;2;208800
Vente Liber-t;A36;AR;2;128600
Vente Liber-t;A36;AR;2;185300
BRUMISATEUR;A36;AS;1;11100
BRUMISATEUR;A36;AS;1;111600
BRUMISATEUR;A36;AS;1;200700
DAB;A36;AS;1;11100
DAB;A36;AS;1;200700
JEUX;A36;AS;1;11100
JEUX;A36;AS;1;111600
JEUX;A36;AS;1;160400
JEUX;A36;AS;1;200700
MOBILITE REDUITE;A36;AS;1;11100
MOBILITE REDUITE;A36;AS;1;111600
MOBILITE REDUITE;A36;AS;1;160400
MOBILITE REDUITE;A36;AS;1;200700
OUI Shop;A36;AS;1;11100
PANORAMA;A36;AS;1;111600
PANORAMA;A36;AS;1;200700
PARCOURS_DETENTE;A36;AS;1;160400
PIQUE_NIQUE;A36;AS;1;11100
PIQUE_NIQUE;A36;AS;1;111600
PIQUE_NIQUE;A36;AS;1;160400
PIQUE_NIQUE;A36;AS;1;200700
PRESSE;A36;AS;1;200700
PRODUITS_REGIONAUX;A36;AS;1;200700
Relay;A36;AS;1;200700
SUPERETTE;A36;AS;1;11100
TELEPHONE;A36;AS;1;11100
TELEPHONE;A36;AS;1;111600
TELEPHONE;A36;AS;1;160400
TELEPHONE;A36;AS;1;200700
WIFI;A36;AS;1;11100
JEUX;A36;AS;2;11100
JEUX;A36;AS;2;60400
JEUX;A36;AS;2;112100
JEUX;A36;AS;2;160600
JEUX;A36;AS;2;200400
MOBILITE REDUITE;A36;AS;2;11100
MOBILITE REDUITE;A36;AS;2;60400
MOBILITE REDUITE;A36;AS;2;112100
MOBILITE REDUITE;A36;AS;2;160600
MOBILITE REDUITE;A36;AS;2;200400
PANORAMA;A36;AS;2;112100
PANORAMA;A36;AS;2;200400
PARCOURS_DETENTE;A36;AS;2;160600
PIQUE_NIQUE;A36;AS;2;11100
PIQUE_NIQUE;A36;AS;2;60400
PIQUE_NIQUE;A36;AS;2;112100
PIQUE_NIQUE;A36;AS;2;160600
PIQUE_NIQUE;A36;AS;2;200400
PRESSE;A36;AS;2;11100
PRESSE;A36;AS;2;200400
TELEPHONE;A36;AS;2;11100
TELEPHONE;A36;AS;2;60400
TELEPHONE;A36;AS;2;112100
TELEPHONE;A36;AS;2;160600
TELEPHONE;A36;AS;2;200400
VIDANGE;A36;AS;2;200400
Vente Liber-t;A36;AS;2;60400
Vente Liber-t;A36;AS;2;160600
MOBILITE REDUITE;A36;Sortie;2;124000
TELEPHONE;A36;Sortie;2;124000
MOBILITE REDUITE;A39;AD;1;79000
BRUMISATEUR;A39;AD;2;114970
DAB;A39;AD;2;114970
JEUX;A39;AD;2;114970
MOBILITE REDUITE;A39;AD;2;114970
PANORAMA;A39;AD;2;114970
PIQUE_NIQUE;A39;AD;2;114970
PRESSE;A39;AD;2;114970
PRODUITS_REGIONAUX;A39;AD;2;114970
TELEPHONE;A39;AD;2;114970
Vente Liber-t;A39;AD;2;114970
JEUX;A39;AR;1;5900
JEUX;A39;AR;1;15200
JEUX;A39;AR;1;51390
JEUX;A39;AR;1;66730
JEUX;A39;AR;1;100080
JEUX;A39;AR;1;137650
MOBILITE REDUITE;A39;AR;1;5900
MOBILITE REDUITE;A39;AR;1;15200
MOBILITE REDUITE;A39;AR;1;51390
MOBILITE REDUITE;A39;AR;1;66730
MOBILITE REDUITE;A39;AR;1;100080
MOBILITE REDUITE;A39;AR;1;137650
PANORAMA;A39;AR;1;137650
PARCOURS_DETENTE;A39;AR;1;137650
PIQUE_NIQUE;A39;AR;1;5900
PIQUE_NIQUE;A39;AR;1;15200
PIQUE_NIQUE;A39;AR;1;51390
PIQUE_NIQUE;A39;AR;1;66730
PIQUE_NIQUE;A39;AR;1;100080
PIQUE_NIQUE;A39;AR;1;137650
TELEPHONE;A39;AR;1;5900
TELEPHONE;A39;AR;1;15200
TELEPHONE;A39;AR;1;51390
TELEPHONE;A39;AR;1;66730
TELEPHONE;A39;AR;1;100080
Vente Liber-t;A39;AR;1;51390
Vente Liber-t;A39;AR;1;66730
Vente Liber-t;A39;AR;1;137650
BRUMISATEUR;A39;AR;2;51310
DAB;A39;AR;2;16300
DAB;A39;AR;2;51310
JEUX;A39;AR;2;5900
JEUX;A39;AR;2;16300
JEUX;A39;AR;2;51310
JEUX;A39;AR;2;66730
JEUX;A39;AR;2;100080
JEUX;A39;AR;2;137650
MOBILITE REDUITE;A39;AR;2;5900
MOBILITE REDUITE;A39;AR;2;16300
MOBILITE REDUITE;A39;AR;2;51310
MOBILITE REDUITE;A39;AR;2;66730
MOBILITE REDUITE;A39;AR;2;100080
MOBILITE REDUITE;A39;AR;2;137650
PANORAMA;A39;AR;2;66730
PIQUE_NIQUE;A39;AR;2;5900
PIQUE_NIQUE;A39;AR;2;16300
PIQUE_NIQUE;A39;AR;2;51310
PIQUE_NIQUE;A39;AR;2;66730
PIQUE_NIQUE;A39;AR;2;100080
PIQUE_NIQUE;A39;AR;2;137650
PRESSE;A39;AR;2;16300
PRESSE;A39;AR;2;51310
PRODUITS_REGIONAUX;A39;AR;2;51310
PRODUITS_REGIONAUX;A39;AR;2;100080
Parking sécurisé pour poids lourds;A39;AR;2;51310
TELEPHONE;A39;AR;2;16300
TELEPHONE;A39;AR;2;51310
TELEPHONE;A39;AR;2;66730
TELEPHONE;A39;AR;2;100080
TELEPHONE;A39;AR;2;137650
VIDANGE;A39;AR;2;16300
Vente Liber-t;A39;AR;2;5900
Vente Liber-t;A39;AR;2;16300
Vente Liber-t;A39;AR;2;66730
Vente Liber-t;A39;AR;2;100080
Vente Liber-t;A39;AR;2;137650
JEUX;A39;AS;1;24930
JEUX;A39;AS;1;114970
MOBILITE REDUITE;A39;AS;1;24930
MOBILITE REDUITE;A39;AS;1;114970
PANORAMA;A39;AS;1;114970
PARCOURS_DETENTE;A39;AS;1;24930
PIQUE_NIQUE;A39;AS;1;24930
PIQUE_NIQUE;A39;AS;1;114970
TELEPHONE;A39;AS;1;24930
TELEPHONE;A39;AS;1;114970
Vente Liber-t;A39;AS;1;24930
CHANGE;A39;AS;2;78300
Information;A39;AS;2;24460
JEUX;A39;AS;2;24460
JEUX;A39;AS;2;78300
MOBILITE REDUITE;A39;AS;2;24460
MOBILITE REDUITE;A39;AS;2;78300
PIQUE_NIQUE;A39;AS;2;24460
PIQUE_NIQUE;A39;AS;2;78300
TELEPHONE;A39;AS;2;24460
TELEPHONE;A39;AS;2;78300
Vente Liber-t;A39;AS;2;24460
MOBILITE REDUITE;A39;Sortie;1;40000
TELEPHONE;A39;Sortie;1;40000
JEUX;A391;PB;1;920
MOBILITE REDUITE;A391;PB;1;920
PANORAMA;A391;PB;1;920
PIQUE_NIQUE;A391;PB;1;920
TELEPHONE;A391;PB;1;920
Vente Liber-t;A391;PB;1;920
JEUX;A391;PB;2;920
MOBILITE REDUITE;A391;PB;2;920
PIQUE_NIQUE;A391;PB;2;920
TELEPHONE;A391;PB;2;920
Vente Liber-t;A391;PB;2;920
