FAM_DEC_INF__FAM_DEC;CD_DEC;LIBELLE
COMMU;77103;Chatillon-La-Borde
COMMU;77122;Combs-La-Ville
COMMU;77145;Crisenoy
COMMU;77156;Darvault
COMMU;77164;Echouboulains
COMMU;77165;Les Ecrennes
COMMU;77175;Evry-Gregy-Sur-Yerre
COMMU;77194;Forges
COMMU;77195;Fouju
COMMU;77210;La Grande-Paroisse
COMMU;77212;Gravon
COMMU;77251;Lieusaint
COMMU;77279;Marolles-Sur-Seine
COMMU;77293;Misy-Sur-Yonne
COMMU;77295;Moisenay
COMMU;77296;Moissy-Cramayel
COMMU;77305;Montereau-Fault-Yonne
COMMU;77306;Montereau-Sur-Le-Jard
COMMU;77354;Pamfou
COMMU;77359;Perthes
COMMU;77384;Reau
COMMU;77409;Saint-Germain-Laval
COMMU;77410;Saint-Germain-Laxis
COMMU;77435;Saint-Sauveur-Sur-Ecole
COMMU;77453;Sivry-Courtry
COMMU;77458;Souppes-Sur-Loing
COMMU;77467;La Tombe
COMMU;77480;Valence-En-Brie
COMMU;77495;Vert-Saint-Denis
COMMU;88003;Aingeville
COMMU;88010;Aouze
COMMU;88013;Aroffe
COMMU;88020;Autreville
COMMU;21464;Nuits-Saint-Georges
COMMU;21469;Orgeux
COMMU;21472;Orville
COMMU;21473;Ouges
COMMU;21481;Perrigny-Les-Dijon
COMMU;21483;Pichanges
COMMU;21495;Pont
COMMU;21501;Pouilly-En-Auxois
COMMU;21505;Precy-Sous-Thil
COMMU;21506;Premeaux-Prissey
COMMU;21517;Quincey
COMMU;21529;Roilly
COMMU;21532;Rouvres-En-Plaine
COMMU;21555;Saint-Julien
COMMU;21565;Saint-Philibert
COMMU;21570;Sainte-Sabine
COMMU;21590;Savigny-Les-Beaune
COMMU;21599;Selongey
COMMU;21605;Sennecey-Les-Dijon
COMMU;21606;Ladoix-Serrigny
COMMU;21607;Seurre
COMMU;21609;Soirans
COMMU;21614;Spoy
COMMU;21616;Tailly
COMMU;21630;Thoisy-Le-Desert
COMMU;21633;Thorey-Sous-Charny
COMMU;21634;Thorey-Sur-Ouche
COMMU;21638;Til-Chatel
COMMU;21642;Toutry
COMMU;21643;Treclun
COMMU;21652;Vandenesse-En-Auxois
COMMU;21665;Vernois-Les-Vesvres
COMMU;21676;Vic-De-Chassenay
COMMU;21681;Vieux-Chateau
COMMU;21684;Vignoles
COMMU;21708;Villy-Le-Moutier
COMMU;25054;Berche
COMMU;25117;Champoux
COMMU;25224;Etouvans
COMMU;25249;Fontenotte
CLASSE;CLASSEA;Trafic Important
CLASSE;CLASSEB;Trafic Moyen
CLASSE;CLASSEC;Trafic Faible
COMMU;03021;BEGUES
COMMU;03022;BELLENAVES
COMMU;03027;BEZENET
COMMU;03031;BIZENEUILLE
COMMU;03075;CHEZELLE
COMMU;03097;DENEUILLE LES MINES
COMMU;03104;DOYET
COMMU;03118;GANNAT
COMMU;03123;GIVARLAIS
COMMU;03153;LOUROUX HODEMENT
COMMU;03158;MAILLET
COMMU;03175;MONESTIER
COMMU;03182;MONTEIGNET SUR ANDELOT
COMMU;03186;MONTMARAULT
COMMU;03193;NASSIGNY
COMMU;03194;NAVES
COMMU;03219;SAINT BONNET DE FOUR
COMMU;03220;SAINT BONNET DE ROCHEFORT
COMMU;03243;SAINT MARCEL EN MURAT
COMMU;03255;SAINT PRIEST D’ANDELOT
COMMU;03256;SAINT PRIEST EN MURAT
COMMU;03270;SAZERET
COMMU;03277;TARGET
COMMU;03297;VALLON EN SULLY
COMMU;03305;VERNEIX
COMMU;03311;VICQ
COMMU;18009;Arcomps
COMMU;18033;Bourges
COMMU;18034;Bouzais
COMMU;18038;Bruere Allichamps
COMMU;18041;La Celette
COMMU;18063;Chavannes
COMMU;18089;Epineuil Le Fleuriel
COMMU;18091;Farges Allichamps
COMMU;18093;Faverdines
COMMU;18126;Levet
COMMU;18129;Lissay-Lochy
COMMU;18169;Nozieres
COMMU;18171;Orcenais
COMMU;18172;Orval
COMMU;18180;Plaimpied-Givaudins
COMMU;18209;Saint Georges De Poisieux
COMMU;18212;Saint Germain Des Bois
COMMU;18221;Saint Loup Des Chaumes
COMMU;18238;Saint Vitte
COMMU;18245;Saulzais Le Potier
COMMU;18248;Sennecay
COMMU;18267;Trouy
COMMU;18268;Uzay Le Venon
COMMU;18270;Vallenay
COMMU;21131;Chamblanc
COMMU;21268;Flagey Les Auxonne
COMMU;21285;Franxault
COMMU;21342;Laperrière Sur Saône
COMMU;21356;Losne
COMMU;21475;Pagny Le Château
COMMU;21572;St Seine En Bache
COMMU;21575;St Symphorien Sur Saône
COMMU;21581;Samerey
COMMU;25020;Arbouans
COMMU;25032;Autechaux
COMMU;25047;Beaume Les Dames
COMMU;25055;Berthelange
COMMU;25056;Besançon
COMMU;25067;Blussans
COMMU;25086;Braillans
COMMU;25088;Bréconchaux
COMMU;25097;Brognard
COMMU;25115;Champagney
COMMU;25119;Champvans Les Moulins
COMMU;25132;Châtillon Guyotte
COMMU;25133;Chatillon Le Duc
COMMU;25137;Chaudefontaine
COMMU;25147;Chemaudin
COMMU;25156;Clerval
COMMU;25188;Dambenois
COMMU;25191;Dampierre Sur Le Doubs
COMMU;25195;Dannemarie Sur Crête
COMMU;25212;Ecole Valentin
COMMU;25214;Ecot
COMMU;25215;L''Écouvotte
COMMU;25228;Etupes
COMMU;25230;Exincourt
COMMU;25235;Ferrières Les Bois
COMMU;25246;Fontaine Les Clerval
COMMU;25298;Grobois
COMMU;25306;L''Hopital St Lieffroy
COMMU;25315;L''Isle Sur Le Doubs
COMMU;25354;Luxiol
COMMU;25368;Marchaux
COMMU;25370;Mathay
COMMU;25376;Merey Vieilley
COMMU;25381;Miserey Salines
COMMU;25388;Montbéliard
COMMU;25448;Pelousey
COMMU;25454;Pirey
COMMU;25466;Pouilley Français
COMMU;25467;Pouilley Les Vignes
COMMU;25468;Pouligney
COMMU;25474;Le Puy
COMMU;25479;Rang
COMMU;25516;St Georges Armont
COMMU;25518;St Hilaire
COMMU;25524;St Maurice Colombier
COMMU;25527;St Vit
COMMU;25531;Santoche
COMMU;25538;Séchin
COMMU;25593;Vaux Les Prés
COMMU;25612;Vieilley
COMMU;25614;Vieux-Charmont
COMMU;25618;Villars Sous Ecot
COMMU;25629;Voillans
COMMU;25632;Voujeaucourt
COMMU;39012;Antorpe
COMMU;39014;Archelange
COMMU;39024;Audelange
COMMU;39029;Aumur
COMMU;39030;Authume
COMMU;39031;Auxange
COMMU;39051;Biarne
COMMU;39121;Chatenois
COMMU;39219;Evans
COMMU;39246;Gendrey
COMMU;39270;Jouhe
COMMU;39284;Lavangeot
COMMU;39285;Lavans Les Dole
COMMU;39302;Louvatange
COMMU;39414;Petit Mercey
COMMU;39465;Romange
COMMU;39501;Sampans
COMMU;45026;Bazoches Sur Le Betz
COMMU;45032;Le Bignon Mirabeau
COMMU;45094;Chevry Sous Le Bignon
COMMU;45136;Ervauville
COMMU;45149;Foucherolles
COMMU;45265;Rosoy-Le-Vieil
COMMU;45281;St Hilaire Les Andresis
COMMU;63012;Artonne
COMMU;63035;Beauregard Vendon
COMMU;63068;Cellule
COMMU;63082;Champs
COMMU;63113;Clermont Ferrand
COMMU;63116;Combronde
COMMU;63135;Davayat
COMMU;63164;Gerzat
COMMU;63167;Gimeaux
COMMU;63181;Jozerand
COMMU;63224;Menetrol
COMMU;63278;Pessat Villeneuve
COMMU;63300;Riom
COMMU;63311;Saint Agoulin
COMMU;63322;Saint Beauzire
COMMU;63327;Saint Bonnet Pres Riom
COMMU;63379;Saint Myon
COMMU;63446;Vensat
COMMU;68052;Bretten
COMMU;68059;Burnhaupt-Le -Bas
COMMU;68071;Diefmatten
COMMU;68085;Eteimbes
COMMU;68129;Heimsbrunn
COMMU;68195;Lutterbach
COMMU;68218;Morschviller-Le Bas
COMMU;68267;Reiningue
COMMU;68302;Schweighouse-Thann
COMMU;68313;Soppe-Le-Bas
COMMU;77001;Acheres La Foret
COMMU;77006;Arbonne La Foret
COMMU;77065;Cely
COMMU;77071;Chaintreaux
COMMU;77088;La Chapelle La Reine
COMMU;77168;Egreville
COMMU;77185;Fleury
COMMU;77186;Fontainebleau
COMMU;77216;Gretz Sur Loing
COMMU;77333;Nemours
COMMU;77339;Noisy Sur Ecole
COMMU;77370;Poligny
COMMU;77412;St Germain Sur Ecole
COMMU;77431;St Pierre Les Nemours
COMMU;77477;Ury
COMMU;77520;Villiers Sous Gretz
COMMU;89003;Aillant Sur Thollon
COMMU;89013;Appoigny
COMMU;89024;Auxerre
COMMU;89037;Beon
COMMU;890401;Sougeres Sur Sinotte
COMMU;89053;Branches
COMMU;89080;La Chapelle Sur Oreuse
COMMU;89108;Chitry Le Fort
COMMU;89126;Courtoin
COMMU;89127;Courtois Sur Yonne
COMMU;89133;Cudot
COMMU;89136;Cuy
COMMU;89151;Egriselle Le Bocage
COMMU;89167;Fleuty La Vallee
COMMU;89196;Guerchy
COMMU;89198;Gurgy
COMMU;89213;Laduz
COMMU;89263;Moneteau
COMMU;89274;Nailly
COMMU;89298;Piffonds
COMMU;89313;Precy Sur Vrin
COMMU;89319;Quenne
COMMU;89341;St Cyr Les Colons
COMMU;89342;St Denis Les Sens
COMMU;89350;St Loup D''Ordon
COMMU;89353;St Martin D''Ordon
COMMU;89366;Saint-Romain-Le-Preux
COMMU;89380;Savigny Sur Clairis
COMMU;89384;Senan
COMMU;89388;Sepeaux
COMMU;89404;Subligny
COMMU;89438;Venoy
COMMU;89442;Vernoy
COMMU;89450;Villebougis
COMMU;89459;Villeneuve La Dondagre
COMMU;89466;Villeroy
COMMU;89484;Volgre
COMMU;90001;Andelnans
COMMU;90002;Angeot
COMMU;90010;Belfort
COMMU;90011;Bermont
COMMU;90012;Bessoncourt
COMMU;90015;Botans
COMMU;90032;Danjoutin
COMMU;90034;Denney
COMMU;90035;Dorans
COMMU;39310;Mantry
COMMU;39342;Monay
COMMU;39386;Neuvilley
COMMU;39387;Nevy-Les-Dole
COMMU;39396;Orchamps
COMMU;39405;Parcey
COMMU;39447;Quintigny
COMMU;39448;Rahon
COMMU;39471;Ruffey-Sur-Seille
COMMU;39480;Saint-Didier
COMMU;39489;Saint-Lothain
COMMU;39507;Seligney
COMMU;39508;Sellieres
COMMU;39520;Souvans
COMMU;39555;Vers-Sous-Sellieres
COMMU;39570;Villers-Les-Bois
COMMU;39571;Villers-Robert
COMMU;45023;Batilly-En-Puisaye
COMMU;45036;Boismorand
COMMU;45040;Bonny-Sur-Loire
COMMU;45053;Briare
COMMU;45060;La Bussiere
COMMU;45092;Chevillon-Sur-Huillard
COMMU;45096;Les Choux
COMMU;45104;Corquilleroy
COMMU;45120;Dammarie-En-Puisaye
COMMU;45127;Dordives
COMMU;45155;Gien
COMMU;45156;Girolles
COMMU;45158;Gondreville
COMMU;45222;Nargis
COMMU;45229;Nogent-Sur-Vernisson
COMMU;45239;Oussoy-En-Gatinais
COMMU;45242;Ouzouer-Des-Champs
COMMU;45245;Ouzouer-Sur-Trezee
COMMU;45247;Pannes
COMMU;45255;Prefontaines
COMMU;45283;Saint-Hilaire-Sur-Puiseaux
COMMU;45323;Thou
COMMU;45328;Treilles-En-Gatinais
COMMU;45332;Varennes-Changy
COMMU;45338;Villemandeur
COMMU;45345;Vimory
COMMU;52014;Aprey
COMMU;52027;Aujeurres
COMMU;52042;Beauchemin
COMMU;52056;Blessonville
COMMU;52059;Bonnecourt
COMMU;88022;Auzainvilliers
COMMU;88031;Balleville
COMMU;88062;Blevaincourt
COMMU;88079;Bulgneville
COMMU;88095;Chatenois
COMMU;88123;Damblain
COMMU;88141;Dombrot-Sur-Vair
COMMU;88232;Harmonville
COMMU;88285;Mandres-Sur-Vair
COMMU;88324;La Neuveville-Sous-Chatenois
COMMU;88387;Removille
COMMU;88390;Robecourt
COMMU;88430;Saint-Ouen-Les-Parey
COMMU;88440;Sandaucourt
COMMU;88446;Saulxures-Les-Bulgneville
COMMU;88448;Sauville
COMMU;88478;Tranqueville-Graux
COMMU;88482;Urville
COMMU;88496;Vaudoncourt
COMMU;88514;Viocourt
COMMU;88524;Vrecourt
COMMU;89022;Athie
COMMU;89027;Bagneaux
COMMU;89109;Cisery
COMMU;89111;Les Clerimois
COMMU;89124;Courlon-Sur-Yonne
COMMU;89130;Cravant
COMMU;89144;Domats
COMMU;89162;Evry
COMMU;89171;Foissy-Sur-Vanne
COMMU;89172;Fontaine-La-Gaillarde
COMMU;89189;Gisy-Les-Nobles
COMMU;89208;Joux-La-Ville
COMMU;89214;Lailly
COMMU;89235;Magny
COMMU;89255;Michery
COMMU;89261;Molinons
COMMU;89277;Nitry
COMMU;89316;Provency
COMMU;89330;Sacy
COMMU;89333;Saint-Andre-En-Terre-Plaine
COMMU;89339;Sainte-Colombe
COMMU;89354;Saint-Martin-Du-Tertre
COMMU;89373;Saligny
COMMU;89377;Sauvigny-Le-Beureal
COMMU;89378;Sauvigny-Le-Bois
COMMU;89379;Savigny-En-Terre-Plaine
COMMU;89381;Sceaux
COMMU;89390;Serbonnes
COMMU;89399;Soucy
COMMU;89415;Thory
COMMU;89441;Vermenton
COMMU;89448;Vignes
COMMU;89461;Villeneuve-L''Archeveque
COMMU;89473;Villiers-Sur-Tholon
COMMU;89480;Vinneuf
COMMU;89483;Voisines
COMMU;91037;Auvernaux
COMMU;91179;Le Coudray-Montceaux
COMMU;91340;Lisses
COMMU;91441;Nainville-Les-Roches
COMMU;91468;Ormoy
COMMU;91599;Soisy-Sur-Ecole
COMMU;91617;Tigery
COMMU;91659;Villabe
CONCES;A406;Non Renseigné
APE;AP CHL;A. Péage Champagne-Lorraine
APE;AP SF;A. Péage Sud Francilien
APE;AP SBA;A. Péage Sud Bourgogne-Ain
APE;AP MC;A. Péage Du Massif Central
APE;AP PL;A. Péage Portes De Lyon
APE;AP FC;A. Péage Franche-Comté
COMMU;58007;Annay
COMMU;01027;BALAN
COMMU;77019;Balloy
COMMU;71026;Beaumont Sur Grosne
COMMU;21096;Boussenois
COMMU;54122;Chaudeney Sur Moselle
COMMU;52154;Crenay
COMMU;21231;Dijon
COMMU;52192;Essey Les Ponts
COMMU;01179;GRIèGES
COMMU;89197;Guillon
COMMU;52270;Lannes
COMMU;52283;Lenizeul
COMMU;89224;Licheres Pres Aigremont
COMMU;71260;Loché
COMMU;39296;Lombard
COMMU;88274;Longchamp Sous Chatenois
COMMU;63204;Malintrat
COMMU;52314;Marmesse
COMMU;52914;Montigny Le Roi
COMMU;45238;Ousson Sur Loire
COMMU;52410;Provencheres Sur Meuse
COMMU;88366;Rainville
COMMU;71476;Saint Romain Des Iles
COMMU;71511;Sennece Les Macon
COMMU;21639;Tillenay
COMMU;01424;TRAMOYES
COMMU;89421;Trevilly
COMMU;52498;Tronchoy
COMMU;25581;Valentin
COMMU;71556;Varennes Les Macon
COMMU;69256;Vaulx En Velin
COMMU;01007;AMBRONAY
COMMU;01014;ARBENT
COMMU;01024;ATTIGNAT
COMMU;01025;BAGE-LA-VILLE
COMMU;01029;BEAUPONT
COMMU;01031;BELLIGNAT
COMMU;01032;BELIGNEUX
COMMU;01038;BENY
COMMU;01043;BEYNOST
COMMU;01049;LA BOISSE
COMMU;01053;BOURG-EN-BRESSE
COMMU;01054;BOURG-SAINT-CHRISTOPHE
COMMU;01062;BRESSOLLES
COMMU;01063;BRION
COMMU;01067;CEIGNES
COMMU;01069;CERTINES
COMMU;01072;CEYZERIAT
COMMU;01077;CHALLES
COMMU;01087;CHARIX
COMMU;01088;CHARNOZ-SUR-AIN
COMMU;01089;CHATEAU-GAILLARD
COMMU;01091;CHATILLON-EN-MICHAILLE
COMMU;01099;CHAZEY-SUR-AIN
COMMU;01105;CIVRIEUX
COMMU;01115;CONFRANCON
COMMU;01134;CROTTET
COMMU;01140;CURTAFOND
COMMU;01142;DAGNEUX
COMMU;01147;DOMSURE
COMMU;01151;DRUILLAT
COMMU;01159;FEILLENS
COMMU;01170;GEOVREISSIAT
COMMU;01171;GEOVREISSET
COMMU;01181;GROISSIAT
COMMU;01192;IZERNORE
COMMU;01195;JASSERON
COMMU;01200;LABALME
COMMU;01204;LALLEYRIAT
COMMU;01213;LEYMENT
COMMU;01228;MAILLAT
COMMU;01232;MARBOZ
COMMU;01237;MARTIGNAT
COMMU;01238;MASSIEUX
COMMU;01244;MEXIMIEUX
COMMU;01248;MIONNAY
COMMU;01249;MIRIBEL
COMMU;01254;MONTAGNAT
COMMU;01262;MONTLUEL
COMMU;01265;MONTREAL-LA-CLUSE
COMMU;01269;NANTUA
COMMU;01273;NEUVILLE-SUR-AIN
COMMU;01274;LES NEYROLLES
COMMU;01275;NEYRON
COMMU;01276;NIEVROZ
COMMU;01283;OYONNAX
COMMU;01285;PARCIEUX
